,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
392,-7.40992715106692e-05,-0.06997862948526354,0,-1,GTPCI,True
393,-7.214183705463173e-05,-1.7008095145598645e-06,0,-1,GTPCII,False
394,-7.560416327542785e-05,3.1534925429288485e-07,0,-1,GTPDPK,False
395,-0.0010474432608668371,-2.623245460381396e-06,0,-1,TRDR,True
396,2.0881300600419928e-05,3.315111859331088e-07,0,-1,GLYK,False
397,1.2237730864811391e-05,-7.817094819922987e-07,0,-1,GPDDA1,False
398,1.2361805833735473e-05,4.12163504548424e-07,0,-1,GPDDA2,False
399,1.4026022791976955e-05,4.3223095469446804e-07,0,-1,GPDDA4,False
400,-0.0001461140402490152,2.0225620178671022e-07,0,-1,PHCYT_BS,True
401,0.00022007154511755056,1.2591051953836363e-07,0,-1,G3PCT,True
402,-0.0012934664539274998,-2.875380660918858e-06,0,-1,RNDR4,False
403,2.4152761259957356e-05,5.448142914588061e-07,0,-1,UAG2EMA,False
404,7.717501534520999e-05,8.580306625344258e-07,0,-1,UDPG4E,False
405,-1.5392514730885876e-05,8.528774113197857e-07,0,-1,UDPGD,False
406,6.172771313939229e-05,7.239531325670123e-07,0,-1,UAG2E,True
407,2.471774167558949e-05,-2.883218321453329e-07,0,-1,ALAALAr,True
408,0.0012898657598284097,3.053762638177693e-07,0,-1,CDPMEK,True
409,-0.00046897280880793535,-0.00014756975921896565,0,-1,MECDPDH2,True
410,-1.7959057205182982e-05,4.740896819288576e-07,0,-1,UAGPT3,True
411,0.00024959537909398366,9.395429604180938e-07,0,-1,UDCPDP,True
412,0.0012656881207381565,6.223573441738184e-07,0,-1,UGMDDS,True
413,7.18353755679163e-05,8.329496498649114e-07,0,-1,UAG4E,True
414,-0.00012747206248284182,-6.739202953881529e-06,0,-1,ADSL2r,True
415,-2.8301006091274727e-06,-6.30460991370152e-06,0,-1,ASPT,False
416,4.451350576901991e-05,-5.754279751440938e-07,0,-1,FUM,False
417,-0.0008109834465955812,-5.290487944842326e-06,0,-1,SUCD1,False
418,4.368318775073432e-05,-6.282295732087939e-06,0,-1,ASP1DC,False
419,-6.7915741653878925e-06,-5.930409946203197e-06,0,-1,ASPCT,True
420,1.7269595341262711e-06,-4.426172030697062e-07,0,-1,OCBT_1,True
421,-8.856301445953063e-07,-4.702529615291384e-07,0,-1,ASAD,True
422,7.206710956757234e-05,-1.4573397336403726e-06,0,-1,CS,False
423,2.4857020578319955e-05,7.344588083546544e-08,0,-1,ICDHyr,False
424,0.0012873668188118081,-1.4747515256624544e-06,0,-1,MCITS,False
425,4.103821992453016e-05,-8.927311486717215e-07,0,-1,MDH,False
426,6.63595826183444e-05,2.987372887258699e-07,0,-1,OXGDC,False
427,1.1528813698272189e-05,-2.4480445770386217e-06,0,-1,PPCK,False
428,7.253353342007163e-06,-0.0022032065992061423,0,-1,AIRC1,True
429,-0.0001324459859670113,2.4314618338183713e-07,0,-1,CHORS,True
430,1.505725404839231e-05,3.654899081995122e-07,0,-1,ICHORS,True
431,4.451100601640667e-06,4.2563014966690016e-07,0,-1,ABUTD,False
432,8.745527707904044e-05,2.262399765168288e-07,0,-1,SSALy,False
433,-5.443303391476639e-05,4.071967592417236e-07,0,-1,ACGK,True
434,4.87283654759807e-07,-1.2090556436583633e-07,0,-1,ACODA_1,False
435,1.9656491542618948e-05,4.239708635139783e-07,0,-1,AGPR,True
436,-1.2394011830285656e-05,4.1782051793393116e-07,0,-1,LAAL11,False
437,-1.2891098668019185e-05,4.1598438887957556e-07,0,-1,LAAL15,False
438,-1.8202153473423355e-05,4.0993279618040113e-07,0,-1,LAAL17,False
439,-7.168812661077772e-05,7.593929124416476e-09,0,0,LAAL2,False
440,-6.966614145967331e-06,4.04269597728546e-07,0,-1,LAAL25,False
441,-7.209294960008883e-06,4.0093796953299954e-07,0,-1,LAAL30,False
442,-4.62990772050198e-06,2.7326685111961346e-07,0,-1,LAAL39,False
443,-4.213087125809478e-06,4.914609990219754e-07,0,-1,LAAL40,False
444,-3.9850078972503145e-06,5.023003978171792e-07,0,-1,LAAL5,False
445,-5.512973631344176e-05,4.6987415998345217e-07,0,-1,LAAL6,False
446,-5.5129736315592814e-05,4.6987415998345217e-07,0,-1,LAAL7,False
447,0.0010449328122986018,3.018638028290388e-07,0,-1,UAMAS,True
448,-6.300529617504769e-05,-8.545846926916179e-07,0,-1,ADPDA,True
449,0.0002947457581718854,3.199699533801281e-07,0,-1,APATi,True
450,-0.0010950628606889862,-2.763961153007255e-07,0,-1,FOLR2,False
451,-2.584130406371732e-05,-0.0005150672004406859,0,-1,FOLD3,True
452,3.8910835410424505e-05,4.1221765822996304e-07,0,-1,G5SD,False
453,0.0011168169534693934,5.940084470135165e-08,0,-1,UAMAGS,True
454,5.937997340009493e-05,-1.051351712362536e-05,0,-1,GLUTRR,False
455,-3.847226594910769e-06,4.185420257457606e-07,0,-1,HISTP,True
456,4.199079601308053e-06,4.1346017254362266e-07,0,-1,IGPDH_1,True
457,0.00012150319971362955,3.659976170605761e-07,0,-1,DHAD2,False
458,-6.452173087323487e-05,3.9898664405679796e-07,0,-1,LAAL18,False
459,-7.545142868338461e-05,8.149596258943959e-08,0,0,LAAL13,False
460,-5.916993394353143e-05,4.0485761794439856e-07,0,-1,LAAL14,False
461,-1.0480537919452249e-05,4.3095762110312297e-07,0,-1,LAAL16,False
462,2.2426313418505428e-05,-2.4249183253055584e-07,0,-1,OMCDC,True
463,1.3869347248729458e-06,-4.2555403917399204e-07,0,-1,ARGN_1,False
464,-7.052087589877465e-05,1.321092951006575e-07,0,0,LAAL24,False
465,-5.397321120524656e-05,3.93085852909425e-07,0,-1,LAAL26,False
466,-4.7990272733500206e-06,4.196233014536199e-07,0,-1,LAAL27,False
467,2.9885382721861475e-06,4.146321502529471e-07,0,-1,PPNDH,True
468,-2.321204127743448e-05,-6.296870803251808e-06,0,-1,GARFT,False
469,-0.00017759155989097164,-2.4521194103011013e-09,0,-1,PGCD,True
470,-7.074453873760767e-05,1.3159301466558748e-07,0,0,LAAL29,False
471,-5.419977930316844e-05,3.897424168536334e-07,0,-1,LAAL31,False
472,3.45180225462538e-06,4.1116057811207973e-07,0,-1,PPND,True
473,-8.889561931632595e-05,3.3357689083191033e-07,0,-1,DHAD1,True
