,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
784,8.979461297436986e-07,5.2391429154440006e-05,0,-1,FAS80ACPm_L,False
785,5.033756871643258e-06,4.410353640822706e-05,0,-1,G3PD1irm,False
786,1.3741612772538714e-06,5.246644955399227e-05,0,-1,GTHOm,False
787,-9.308935053214951e-07,5.246607145888843e-05,0,-1,KARA1im,True
788,-9.480835656480724e-07,5.246601961860636e-05,0,-1,KARA2im,True
789,1.147536205968469e-06,5.249030130430321e-05,0,-1,NAPRTm,False
790,1.6649343269961592e-06,5.239742525518787e-05,0,-1,NMNATm,False
791,1.646325978411911e-06,5.2416938204687125e-05,0,-1,NNATm,False
792,1.1213587840647188e-06,5.249034721573759e-05,0,-1,NNDPRm,False
793,2.44429064759355e-07,5.242002276755614e-05,0,-1,OMCDCm,False
794,1.096976000466987e-06,5.249035682806935e-05,0,-1,PSERDm_SC,False
795,6.767598479603953e-07,5.2416958572575056e-05,0,-1,PTPATim,False
796,1.3724177422569372e-06,5.246644954470109e-05,0,-1,TRDRm,False
797,4.437747444310802e-07,2.5015942672207414e-07,0,-1,NADS1,False
798,2.936576870560259e-09,9.908004919290114e-08,0,-1,DNMPPA,False
799,2.5727687209819994e-08,1.2603506015923527e-07,0,-1,TMN,False
800,-1.5369759766986624e-07,4.1862573050416296e-07,0,-1,TMDPK,False
801,-0.002297589890481698,4.3924826503144443e-07,0,-1,TMDPPK,False
802,6.700860419664445e-07,1.5653818199318215e-07,0,-1,SHK3Dr,True
803,-1.0290345797692169e-09,8.554628153981114e-07,0,-1,C22STDS,False
804,-1.0290367655207966e-09,8.554628153981114e-07,0,-1,C22STDSx,False
805,2.3968468390589415e-09,1.1665109742389768e-06,0,-1,SHCHF,False
806,2.9407312349127857e-08,-0.051459424666260196,0,-1,HMBS,False
807,-4.907826730432552e-08,-0.05145942466625849,0,-1,UPPDC1,False
808,2.592856729544124e-06,5.336392680659746e-05,0,-8,2HP6MPMOm,False
809,1.7035987752433979e-07,5.373441277364832e-05,0,-1,ACACT1m,False
810,-2.5567708790419363e-08,5.3515678433639635e-05,0,-8,ACOATAm,False
811,-4.056166788557469e-08,5.3544875849242946e-05,0,-8,COUCOAFm,False
812,1.9505111004819442e-07,5.3583361505314675e-05,0,-8,CSNATm,False
813,5.2447847627423716e-08,5.341378687500481e-05,0,-8,DHAD1m,True
814,4.2192181318179145e-08,5.335530419398743e-05,0,-8,DHAD2m,True
815,2.581706722536159e-06,5.3412624956054866e-05,0,-8,DHPSm,False
816,1.1216669251745692e-07,5.3391331636128136e-05,0,-1,HEMEOMOm,False
817,3.349809757149935e-07,5.351567839664839e-05,0,-8,MCOATAm,False
818,2.579417726640554e-06,5.3412605720247475e-05,0,-8,PPPGOm,False
819,8.095197375490581e-07,5.340570483430146e-05,0,-8,T4HCINNMFM,False
820,1.6832047548820395e-07,5.3531180279883794e-05,0,-8,ACSm,False
821,1.634642140813103e-07,5.3590861285882085e-05,0,-8,AKGDbm,False
822,2.2198014645591346e-06,5.440234809429845e-05,0,-8,HBZOPT6m,False
